"","Date","COUNTY","Site.Name","LAT","LONG","Month","Year","Ozone","PM2.5"
"60",2018-01-06,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,35
"61",2018-01-06,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,22
"62",2018-01-06,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,23
"63",2018-01-06,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,29
"64",2018-01-06,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,31,40
"65",2018-01-06,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,21
"66",2018-01-06,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,17
"67",2018-01-06,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,35
"68",2018-01-06,"Wake","Millbrook School",35.856111,-78.574167,1,2018,33,33
"69",2018-01-07,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,39
"70",2018-01-07,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,15
"71",2018-01-07,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,49
"72",2018-01-07,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,28
"73",2018-01-07,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,38
"74",2018-01-07,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,27
"75",2018-01-07,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,31,47
"76",2018-01-07,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,9
"77",2018-01-07,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,18
"78",2018-01-07,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,54
"79",2018-01-07,"Wake","Millbrook School",35.856111,-78.574167,1,2018,34,48
"80",2018-01-08,"Avery","Linville Falls",35.972347,-81.933072,1,2018,NA,22
"81",2018-01-08,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,34.5
"82",2018-01-08,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,40
"83",2018-01-08,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,52
"84",2018-01-08,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,40
